date,time_id,start_time,end_time,region_from,region_to,v0_num_traj,v10_num_traj,v20_num_traj,v30_num_traj,v40_num_traj,v50_num_traj,v60_num_traj
2013/3/4,6,300,360,18,11,7,7,7,7,0,0,0
2013/3/4,6,300,360,18,21,1,1,1,0,0,0,0
2013/3/4,6,300,360,18,75,1,1,1,0,0,0,0
2013/3/4,6,300,360,18,85,1,1,1,0,0,0,0
2013/3/4,6,300,360,19,1,6,6,6,6,0,0,0
2013/3/4,6,300,360,19,6,6,6,6,6,0,0,0
2013/3/4,6,300,360,20,1,5,5,5,5,0,0,0
2013/3/4,6,300,360,20,2,10,10,10,10,10,10,0
2013/3/4,6,300,360,20,4,10,10,10,10,10,10,0
2013/3/4,6,300,360,20,5,7,7,7,7,7,0,0
2013/3/4,6,300,360,20,15,12,12,12,12,12,12,0
2013/3/4,6,300,360,20,16,9,9,9,9,9,9,9
2013/3/4,6,300,360,20,27,11,11,11,11,11,11,11
2013/3/4,6,300,360,20,31,1,1,1,0,0,0,0
2013/3/4,6,300,360,20,32,1,1,1,0,0,0,0
2013/3/4,6,300,360,20,35,1,1,1,0,0,0,0
2013/3/4,6,300,360,21,11,1,1,1,0,0,0,0
2013/3/4,6,300,360,21,75,1,1,1,0,0,0,0
2013/3/4,6,300,360,21,85,1,1,1,0,0,0,0
2013/3/4,6,300,360,22,1,1,1,1,0,0,0,0
2013/3/4,6,300,360,22,2,5,5,5,0,0,0,0
2013/3/4,6,300,360,22,5,1,1,1,0,0,0,0
2013/3/4,6,300,360,22,12,5,5,5,0,0,0,0
2013/3/4,6,300,360,22,25,1,1,1,1,0,0,0
2013/3/4,6,300,360,24,1,7,7,7,7,0,0,0
2013/3/4,6,300,360,24,3,2,2,2,0,0,0,0
2013/3/4,6,300,360,24,5,1,1,1,0,0,0,0
2013/3/4,6,300,360,24,6,7,7,7,7,0,0,0
2013/3/4,6,300,360,24,11,2,2,2,0,0,0,0
2013/3/4,6,300,360,24,18,3,3,3,0,0,0,0
2013/3/4,6,300,360,24,19,7,7,7,7,0,0,0
2013/3/4,6,300,360,24,29,6,6,6,6,0,0,0
2013/3/4,6,300,360,24,33,7,7,7,7,0,0,0
2013/3/4,6,300,360,24,37,3,3,3,0,0,0,0
2013/3/4,6,300,360,25,1,1,1,1,0,0,0,0
2013/3/4,6,300,360,25,2,5,5,5,0,0,0,0
2013/3/4,6,300,360,25,5,1,1,1,0,0,0,0
2013/3/4,6,300,360,25,12,5,5,5,0,0,0,0
2013/3/4,6,300,360,25,22,5,5,5,0,0,0,0
2013/3/4,6,300,360,27,1,4,4,4,4,4,0,0
2013/3/4,6,300,360,27,2,9,9,9,9,9,9,0
2013/3/4,6,300,360,27,4,9,9,9,9,9,9,0
2013/3/4,6,300,360,27,5,6,6,6,6,6,0,0
2013/3/4,6,300,360,27,15,11,11,11,11,11,11,11
2013/3/4,6,300,360,27,16,9,9,9,9,9,9,0
2013/3/4,6,300,360,28,1,2,2,2,0,0,0,0
2013/3/4,6,300,360,28,2,5,5,5,5,0,0,0
2013/3/4,6,300,360,28,4,5,5,5,0,0,0,0
2013/3/4,6,300,360,28,5,2,2,2,0,0,0,0
2013/3/4,6,300,360,28,10,6,6,6,6,0,0,0
2013/3/4,6,300,360,29,1,6,6,6,6,0,0,0
2013/3/4,6,300,360,29,6,6,6,6,6,0,0,0
2013/3/4,6,300,360,29,19,7,7,7,7,0,0,0
2013/3/4,6,300,360,30,50,2,2,2,2,0,0,0
2013/3/4,6,300,360,31,1,4,4,4,0,0,0,0
2013/3/4,6,300,360,31,2,5,5,5,0,0,0,0
2013/3/4,6,300,360,31,3,1,1,1,0,0,0,0
2013/3/4,6,300,360,31,4,5,5,5,5,0,0,0
2013/3/4,6,300,360,31,5,5,5,5,0,0,0,0
2013/3/4,6,300,360,31,10,1,1,1,0,0,0,0
2013/3/4,6,300,360,31,15,6,6,6,6,0,0,0
2013/3/4,6,300,360,32,1,2,2,2,0,0,0,0
2013/3/4,6,300,360,32,2,3,3,3,0,0,0,0
2013/3/4,6,300,360,32,4,3,3,3,3,0,0,0
2013/3/4,6,300,360,32,5,3,3,3,0,0,0,0
2013/3/4,6,300,360,32,10,2,2,2,0,0,0,0
2013/3/4,6,300,360,32,15,5,5,5,0,0,0,0
2013/3/4,6,300,360,32,31,5,5,5,0,0,0,0
2013/3/4,6,300,360,32,32,1,1,1,0,0,0,0
2013/3/4,6,300,360,32,35,1,1,1,0,0,0,0
2013/3/4,6,300,360,33,1,7,7,7,7,0,0,0
2013/3/4,6,300,360,33,3,1,1,1,0,0,0,0
2013/3/4,6,300,360,33,6,6,6,6,6,0,0,0
2013/3/4,6,300,360,33,11,1,1,1,0,0,0,0
2013/3/4,6,300,360,33,18,2,2,2,0,0,0,0
2013/3/4,6,300,360,33,19,7,7,7,7,0,0,0
2013/3/4,6,300,360,33,21,1,1,1,0,0,0,0
2013/3/4,6,300,360,33,29,6,6,6,6,6,0,0
2013/3/4,6,300,360,33,75,1,1,1,0,0,0,0
2013/3/4,6,300,360,33,85,1,1,1,0,0,0,0
2013/3/4,6,300,360,34,1,1,1,1,1,0,0,0
2013/3/4,6,300,360,34,2,2,2,2,2,0,0,0
2013/3/4,6,300,360,34,4,2,2,2,2,0,0,0
2013/3/4,6,300,360,34,5,1,1,1,1,0,0,0
2013/3/4,6,300,360,34,10,3,3,3,3,0,0,0
2013/3/4,6,300,360,34,28,3,3,3,0,0,0,0
2013/3/4,6,300,360,35,1,1,1,1,0,0,0,0
2013/3/4,6,300,360,35,2,1,1,1,0,0,0,0
2013/3/4,6,300,360,35,4,1,1,1,1,0,0,0
2013/3/4,6,300,360,35,5,1,1,1,0,0,0,0
2013/3/4,6,300,360,35,10,2,2,2,0,0,0,0
2013/3/4,6,300,360,35,15,3,3,3,0,0,0,0
2013/3/4,6,300,360,35,31,3,3,3,0,0,0,0
2013/3/4,6,300,360,35,32,4,4,4,0,0,0,0
2013/3/4,6,300,360,35,35,1,1,1,0,0,0,0
2013/3/4,6,300,360,36,1,1,1,1,0,0,0,0
2013/3/4,6,300,360,36,2,3,3,3,0,0,0,0
2013/3/4,6,300,360,36,3,1,1,1,0,0,0,0
2013/3/4,6,300,360,36,4,3,3,3,0,0,0,0
2013/3/4,6,300,360,36,5,2,2,2,0,0,0,0
2013/3/4,6,300,360,36,8,6,6,6,0,0,0,0
2013/3/4,6,300,360,36,16,3,3,3,0,0,0,0
2013/3/4,6,300,360,36,72,2,2,2,2,2,0,0
2013/3/4,6,300,360,36,82,2,2,2,2,2,0,0
2013/3/4,6,300,360,37,1,2,2,2,2,0,0,0
2013/3/4,6,300,360,37,3,3,3,3,3,0,0,0
2013/3/4,6,300,360,37,5,1,1,1,1,0,0,0
2013/3/4,6,300,360,37,6,2,2,2,2,0,0,0
2013/3/4,6,300,360,37,11,3,3,3,3,0,0,0
2013/3/4,6,300,360,37,18,5,5,5,0,0,0,0
2013/3/4,6,300,360,37,19,1,1,1,1,0,0,0
2013/3/4,6,300,360,37,24,2,2,2,2,0,0,0
2013/3/4,6,300,360,37,33,1,1,1,1,0,0,0
2013/3/4,6,300,360,38,1,2,2,2,0,0,0,0
2013/3/4,6,300,360,38,6,2,2,2,0,0,0,0
2013/3/4,6,300,360,38,13,2,2,2,0,0,0,0
2013/3/4,6,300,360,39,21,1,1,1,0,0,0,0
2013/3/4,6,300,360,42,20,1,1,1,0,0,0,0
2013/3/4,6,300,360,42,48,1,1,1,0,0,0,0
2013/3/4,6,300,360,42,51,2,2,2,2,0,0,0
2013/3/4,6,300,360,43,2,1,1,1,0,0,0,0
2013/3/4,6,300,360,43,4,1,1,1,0,0,0,0
2013/3/4,6,300,360,43,10,1,1,1,0,0,0,0
2013/3/4,6,300,360,43,28,1,1,1,0,0,0,0
2013/3/4,6,300,360,44,1,3,3,3,3,0,0,0
2013/3/4,6,300,360,44,6,3,3,3,3,0,0,0
2013/3/4,6,300,360,44,19,3,3,3,3,0,0,0
